,"(mm) Precipitation (CHIRPS) at Hambantota, 2007-01-01 to 2025-12-31"
"2009-03-03",0
"2009-03-04",0
"2009-03-05",0
"2009-03-06",0
"2009-03-07",17.3923
"2009-03-08",20.0616
"2009-03-09",4.2191
"2009-03-10",9.193
"2009-03-11",0.1716
"2009-03-12",18.5848
"2009-03-13",6.8976
"2009-03-14",28.5224
"2009-03-15",8.3716
"2009-03-16",9.4782
"2009-03-17",8.2841
"2009-03-18",2.3161
"2009-03-19",6.4209
"2009-03-20",3.1064
"2009-03-21",0.1042
"2009-03-22",0
"2009-03-23",3.0196
"2009-03-24",6.935
"2009-03-25",6.1303
"2009-03-26",10.164
"2009-03-27",19.6635
"2009-03-28",14.9657
"2009-03-29",24.8779
"2009-03-30",23.1043
"2009-03-31",3.3492
"2009-04-01",7.035
"2009-04-02",3.2622
"2009-04-03",2.864
"2009-04-04",10.1683
"2009-04-05",10.3312
"2009-04-06",2.2801
"2009-04-07",0.8205
"2009-04-08",9.8168
"2009-04-09",12.7269
"2009-04-10",18.9205
"2009-04-11",9.6243
"2009-04-12",1.4623
"2009-04-13",0.9879
"2009-04-14",2.0692
"2009-04-15",0.407
"2009-04-16",0
"2009-04-17",0
"2009-04-18",0
"2009-04-19",1.7812
"2009-04-20",3.3955
"2009-04-21",0
"2009-04-22",0
"2009-04-23",0
"2009-04-24",0.0156
"2009-04-25",0
"2009-04-26",3.3983
"2009-04-27",1.7394
"2009-04-28",0
"2009-04-29",0
"2009-04-30",0
"2009-05-01",0
"2009-05-02",0
"2009-05-03",0
"2009-05-04",0
"2009-05-05",2.3798
"2009-05-06",1.2153
"2009-05-07",4.9723
"2009-05-08",5.3565
"2009-05-09",0.6258
"2009-05-10",3.1171
"2009-05-11",0
"2009-05-12",12.4921
"2009-05-13",3.9181
"2009-05-14",0
"2009-05-15",0.0123
"2009-05-16",0
"2009-05-17",20.7197
"2009-05-18",2.6201
"2009-05-19",25.7756
"2009-05-20",1.3903
"2009-05-21",17.9546
"2009-05-22",9.2993
"2009-05-23",2.6217
"2009-05-24",4.6385
"2009-05-25",0.5899
"2009-05-26",8.7803
"2009-05-27",7.4001
"2009-05-28",0
"2009-05-29",0
"2009-05-30",13.3982
"2009-05-31",7.1836
"2009-06-01",0
"2009-06-02",0
"2009-06-03",0.0908
"2009-06-04",0.8222
"2009-06-05",6.0125
"2009-06-06",0
"2009-06-07",0
"2009-06-08",0
"2009-06-09",0
"2009-06-10",0
"2009-06-11",18.8193
"2009-06-12",0.7616
"2009-06-13",0
"2009-06-14",0
"2009-06-15",0
"2009-06-16",0
"2009-06-17",0
"2009-06-18",0.9007
"2009-06-19",1.8337
"2009-06-20",0
"2009-06-21",0
"2009-06-22",0
"2009-06-23",0
"2009-06-24",2.516
"2009-06-25",5.7658
"2009-06-26",2.703
"2009-06-27",11.2306
"2009-06-28",0
"2009-06-29",0
"2009-06-30",1.3827
"2009-07-01",8.6501
"2009-07-02",0.0417
"2009-07-03",0
"2009-07-04",0.0148
"2009-07-05",0.7787
"2009-07-06",0.5439
"2009-07-07",0.0913
"2009-07-08",0
"2009-07-09",0
"2009-07-10",0
"2009-07-11",0
"2009-07-12",0
"2009-07-13",0
"2009-07-14",0
"2009-07-15",0.8867
"2009-07-16",3.1262
"2009-07-17",10.092
"2009-07-18",0
"2009-07-19",0
"2009-07-20",0.2859
"2009-07-21",0
"2009-07-22",0
"2009-07-23",0
"2009-07-24",3.8653
"2009-07-25",0.0394
"2009-07-26",0
"2009-07-27",0.0015
"2009-07-28",0.0073
