,"(deg C) Mean Temperature (ERA5) at Hambantota, 2007-01-01 to 2025-12-31"
"2008-09-06",25.5027
"2008-09-07",25.5822
"2008-09-08",26.1687
"2008-09-09",27.5151
"2008-09-10",28.1055
"2008-09-11",26.9391
"2008-09-12",27.5063
"2008-09-13",27.6741
"2008-09-14",27.4667
"2008-09-15",26.8806
"2008-09-16",27.8325
"2008-09-17",28.2665
"2008-09-18",28.1476
"2008-09-19",27.4411
"2008-09-20",27.6734
"2008-09-21",27.2402
"2008-09-22",27.5085
"2008-09-23",27.2315
"2008-09-24",27.5819
"2008-09-25",27.4864
"2008-09-26",27.8825
"2008-09-27",27.7496
"2008-09-28",27.7043
"2008-09-29",27.2295
"2008-09-30",27.6452
"2008-10-01",27.7899
"2008-10-02",27.6374
"2008-10-03",27.8585
"2008-10-04",26.9102
"2008-10-05",26.8635
"2008-10-06",27
"2008-10-07",25.8091
"2008-10-08",25.9004
"2008-10-09",25.8744
"2008-10-10",26.6116
"2008-10-11",25.6442
"2008-10-12",25.2078
"2008-10-13",25.4496
"2008-10-14",25.52
"2008-10-15",25.8917
"2008-10-16",25.5212
"2008-10-17",25.8361
"2008-10-18",25.3821
"2008-10-19",25.4224
"2008-10-20",25.1144
"2008-10-21",25.1551
"2008-10-22",25.2856
"2008-10-23",26.032
"2008-10-24",25.549
"2008-10-25",26.7071
"2008-10-26",26.115
"2008-10-27",26.4528
"2008-10-28",26.2713
"2008-10-29",25.8064
"2008-10-30",25.9665
"2008-10-31",25.0843
"2008-11-01",25.3688
"2008-11-02",25.2288
"2008-11-03",25.6829
"2008-11-04",25.9483
"2008-11-05",25.873
"2008-11-06",25.3596
"2008-11-07",26.2679
"2008-11-08",25.7622
"2008-11-09",25.6705
"2008-11-10",24.9497
"2008-11-11",25.1808
"2008-11-12",25.689
"2008-11-13",25.9258
"2008-11-14",25.9427
"2008-11-15",25.7458
"2008-11-16",25.843
"2008-11-17",26.0266
"2008-11-18",25.6421
"2008-11-19",26.2679
"2008-11-20",24.9955
"2008-11-21",24.9583
"2008-11-22",25.3768
"2008-11-23",24.8645
"2008-11-24",24.8913
"2008-11-25",25.505
"2008-11-26",25.666
"2008-11-27",25.5157
"2008-11-28",25.7463
"2008-11-29",24.0568
"2008-11-30",24.9763
"2008-12-01",25.7995
"2008-12-02",25.149
"2008-12-03",25.4465
"2008-12-04",25.1154
"2008-12-05",25.392
"2008-12-06",25.0236
"2008-12-07",25.407
"2008-12-08",24.971
"2008-12-09",25.3164
"2008-12-10",25.2796
"2008-12-11",24.6164
"2008-12-12",24.8985
"2008-12-13",24.8956
"2008-12-14",25.4058
"2008-12-15",25.0691
"2008-12-16",24.4599
"2008-12-17",24.3574
"2008-12-18",24.3531
"2008-12-19",25.0107
"2008-12-20",25.3857
"2008-12-21",24.7798
"2008-12-22",24.5261
"2008-12-23",25.208
"2008-12-24",24.8
"2008-12-25",25.0873
"2008-12-26",25.3439
"2008-12-27",24.8364
"2008-12-28",24.788
"2008-12-29",24.6677
"2008-12-30",24.3623
"2008-12-31",24.0771
"2009-01-01",24.0745
"2009-01-02",24.4537
"2009-01-03",24.5143
"2009-01-04",24.836
"2009-01-05",25.5305
"2009-01-06",23.7671
"2009-01-07",25.415
"2009-01-08",25.0791
"2009-01-09",24.0719
"2009-01-10",24.9083
"2009-01-11",24.965
"2009-01-12",25.0956
"2009-01-13",24.5841
"2009-01-14",24.1461
"2009-01-15",24.4691
"2009-01-16",24.3432
"2009-01-17",24.6552
"2009-01-18",24.7837
"2009-01-19",25.4738
"2009-01-20",25.782
"2009-01-21",25.5227
"2009-01-22",25.3078
"2009-01-23",25.1824
"2009-01-24",24.7475
"2009-01-25",24.7042
"2009-01-26",25.5446
"2009-01-27",25.7083
"2009-01-28",25.7541
"2009-01-29",25.2491
"2009-01-30",24.5381
"2009-01-31",25.0995
"2009-02-01",25.7573
"2009-02-02",25.6093
"2009-02-03",25.8263
"2009-02-04",25.9599
"2009-02-05",25.6651
"2009-02-06",25.9441
"2009-02-07",25.7259
"2009-02-08",25.1388
"2009-02-09",24.9933
"2009-02-10",26.1582
"2009-02-11",26.6088
"2009-02-12",25.7489
"2009-02-13",25.9116
"2009-02-14",25.8668
"2009-02-15",26.4768
"2009-02-16",26.2886
"2009-02-17",26.3847
"2009-02-18",26.503
"2009-02-19",26.1118
"2009-02-20",27.0836
"2009-02-21",27.2624
"2009-02-22",26.8611
"2009-02-23",26.77
"2009-02-24",27.444
"2009-02-25",27.8472
"2009-02-26",28.1089
"2009-02-27",27.6021
"2009-02-28",27.5963
"2009-03-01",27.5291
"2009-03-02",26.9641
"2009-03-03",26.9648
"2009-03-04",27.2653
"2009-03-05",27.6554
"2009-03-06",27.6004
"2009-03-07",27.0269
"2009-03-08",25.1527
"2009-03-09",26.1365
"2009-03-10",25.7198
"2009-03-11",25.8788
"2009-03-12",25.7595
"2009-03-13",25.6394
"2009-03-14",25.0174
"2009-03-15",26.2535
"2009-03-16",25.9022
"2009-03-17",25.8284
"2009-03-18",26.4264
"2009-03-19",26.6991
"2009-03-20",26.0522
"2009-03-21",26.7025
"2009-03-22",27.206
"2009-03-23",26.9112
"2009-03-24",25.9639
"2009-03-25",26.4281
"2009-03-26",26.4099
"2009-03-27",26.1525
"2009-03-28",26.4132
"2009-03-29",26.1638
"2009-03-30",25.9326
"2009-03-31",26.8944
"2009-04-01",26.9238
"2009-04-02",26.6255
"2009-04-03",25.7529
"2009-04-04",25.5508
"2009-04-05",25.6306
"2009-04-06",26.2002
"2009-04-07",26.1921
"2009-04-08",25.3338
"2009-04-09",25.4222
"2009-04-10",25.3744
"2009-04-11",26.2577
"2009-04-12",27.0165
"2009-04-13",26.5182
"2009-04-14",27.4266
"2009-04-15",28.1854
"2009-04-16",27.9096
"2009-04-17",28.1693
"2009-04-18",28.0626
"2009-04-19",27.9134
"2009-04-20",27.6069
"2009-04-21",27.8827
"2009-04-22",27.4948
"2009-04-23",27.7272
"2009-04-24",28.0614
"2009-04-25",28.5691
"2009-04-26",27.3889
"2009-04-27",27.3261
"2009-04-28",27.6486
"2009-04-29",27.4908
"2009-04-30",27.7929
"2009-05-01",27.9653
"2009-05-02",28.6749
"2009-05-03",28.5313
"2009-05-04",28.2654
"2009-05-05",28.0434
"2009-05-06",28.1418
"2009-05-07",28.4683
"2009-05-08",27.6866
"2009-05-09",28.2064
"2009-05-10",28.3533
"2009-05-11",28.8682
"2009-05-12",28.6669
"2009-05-13",28.1985
"2009-05-14",28.6968
"2009-05-15",28.7252
"2009-05-16",28.6069
"2009-05-17",27.6066
"2009-05-18",27.4084
"2009-05-19",27.1874
"2009-05-20",26.7173
"2009-05-21",26.6205
"2009-05-22",26.9228
"2009-05-23",26.9784
"2009-05-24",26.6286
"2009-05-25",27.9367
"2009-05-26",27.6697
"2009-05-27",27.6887
"2009-05-28",28.335
"2009-05-29",28.1902
"2009-05-30",27.6651
"2009-05-31",27.1371
"2009-06-01",27.7199
"2009-06-02",28.2208
"2009-06-03",28.268
"2009-06-04",27.8419
"2009-06-05",27.104
"2009-06-06",27.9984
"2009-06-07",27.6797
"2009-06-08",27.7499
"2009-06-09",27.8492
"2009-06-10",27.3227
"2009-06-11",26.7914
"2009-06-12",26.9677
"2009-06-13",27.1927
"2009-06-14",27.9567
"2009-06-15",28.0008
"2009-06-16",28.0346
"2009-06-17",27.3422
"2009-06-18",26.9876
"2009-06-19",26.563
"2009-06-20",27.0668
"2009-06-21",27.681
"2009-06-22",27.2616
"2009-06-23",27.5809
"2009-06-24",27.1082
"2009-06-25",27.1799
"2009-06-26",26.8324
"2009-06-27",27.0532
"2009-06-28",26.6656
"2009-06-29",26.624
"2009-06-30",26.3093
"2009-07-01",26.5127
"2009-07-02",26.9972
"2009-07-03",27.5517
"2009-07-04",27.6755
"2009-07-05",27.2668
"2009-07-06",26.8052
"2009-07-07",27.6398
"2009-07-08",27.5454
"2009-07-09",27.501
"2009-07-10",27.574
"2009-07-11",27.4416
"2009-07-12",27.9156
"2009-07-13",27.9654
"2009-07-14",27.4939
"2009-07-15",27.2365
"2009-07-16",26.366
"2009-07-17",25.9051
"2009-07-18",28.0131
"2009-07-19",27.7639
"2009-07-20",28.2181
"2009-07-21",28.1389
"2009-07-22",28.0225
"2009-07-23",28.2361
"2009-07-24",28.5288
"2009-07-25",28.2017
"2009-07-26",27.4746
"2009-07-27",27.5994
"2009-07-28",27.1131
"2009-07-29",27.5939
