,"(deg C) Mean Temperature (ERA5) at Ratnapura, 2007-01-01 to 2025-12-31"
"2009-01-18",23.6565
"2009-01-19",24.2174
"2009-01-20",24.5548
"2009-01-21",24.0999
"2009-01-22",24.0448
"2009-01-23",23.8483
"2009-01-24",22.8628
"2009-01-25",23.192
"2009-01-26",23.7508
"2009-01-27",24.059
"2009-01-28",23.9547
"2009-01-29",23.6806
"2009-01-30",22.4738
"2009-01-31",23.236
"2009-02-01",23.9361
"2009-02-02",23.7693
"2009-02-03",23.8767
"2009-02-04",23.5173
"2009-02-05",23.477
"2009-02-06",23.4767
"2009-02-07",23.4065
"2009-02-08",23.1464
"2009-02-09",22.9578
"2009-02-10",23.7432
"2009-02-11",24.4356
"2009-02-12",23.4405
"2009-02-13",23.4261
"2009-02-14",23.626
"2009-02-15",24.1998
"2009-02-16",24.259
"2009-02-17",24.4264
"2009-02-18",24.3195
"2009-02-19",24.2169
"2009-02-20",25.2461
"2009-02-21",25.2601
"2009-02-22",24.3977
"2009-02-23",24.2198
"2009-02-24",24.6148
"2009-02-25",25.2257
"2009-02-26",25.5568
"2009-02-27",25.1751
"2009-02-28",25.2059
"2009-03-01",24.9972
"2009-03-02",24.6499
"2009-03-03",24.6561
"2009-03-04",24.5689
"2009-03-05",25.0408
"2009-03-06",24.8717
"2009-03-07",24.6908
"2009-03-08",23.6201
"2009-03-09",24.0158
"2009-03-10",23.9358
"2009-03-11",24.1944
"2009-03-12",24.0311
"2009-03-13",23.7162
"2009-03-14",23.1209
"2009-03-15",24.2252
"2009-03-16",24.3019
"2009-03-17",24.0661
"2009-03-18",24.6854
"2009-03-19",25.1715
"2009-03-20",24.2987
"2009-03-21",24.7208
"2009-03-22",25.4925
"2009-03-23",25.2021
"2009-03-24",23.753
"2009-03-25",24.5827
"2009-03-26",24.4542
"2009-03-27",24.3999
"2009-03-28",24.9202
"2009-03-29",24.2639
"2009-03-30",23.9213
"2009-03-31",24.9375
"2009-04-01",24.8644
"2009-04-02",24.1273
"2009-04-03",23.8493
"2009-04-04",24.0622
"2009-04-05",23.917
"2009-04-06",24.2913
"2009-04-07",24.4711
"2009-04-08",23.8623
"2009-04-09",23.9058
"2009-04-10",23.7492
"2009-04-11",24.1997
"2009-04-12",25.1707
"2009-04-13",24.458
"2009-04-14",25.1044
"2009-04-15",25.702
"2009-04-16",25.5325
"2009-04-17",25.9661
"2009-04-18",26.1528
"2009-04-19",26.065
"2009-04-20",25.3016
"2009-04-21",25.2491
"2009-04-22",24.911
"2009-04-23",25.3896
"2009-04-24",25.5115
"2009-04-25",25.8554
"2009-04-26",25.1527
"2009-04-27",25.0204
"2009-04-28",25.106
"2009-04-29",24.8091
"2009-04-30",24.9119
"2009-05-01",25.0588
"2009-05-02",25.9964
"2009-05-03",25.8818
"2009-05-04",25.6823
"2009-05-05",25.1872
"2009-05-06",25.1608
"2009-05-07",25.8771
"2009-05-08",25.1912
"2009-05-09",25.4403
"2009-05-10",25.459
"2009-05-11",26.0713
"2009-05-12",25.6542
"2009-05-13",25.0791
"2009-05-14",25.5182
"2009-05-15",25.754
"2009-05-16",25.8094
"2009-05-17",25.0676
"2009-05-18",24.747
"2009-05-19",24.4578
"2009-05-20",23.78
"2009-05-21",24.0517
"2009-05-22",24.3587
"2009-05-23",24.3183
"2009-05-24",24.1342
"2009-05-25",25.1968
"2009-05-26",24.6484
"2009-05-27",24.7313
"2009-05-28",25.352
"2009-05-29",25.1943
"2009-05-30",24.6331
"2009-05-31",24.4672
"2009-06-01",24.7183
"2009-06-02",24.9889
"2009-06-03",24.9551
"2009-06-04",24.7061
"2009-06-05",24.0914
"2009-06-06",24.7574
"2009-06-07",24.4748
"2009-06-08",24.347
"2009-06-09",24.568
"2009-06-10",24.3682
"2009-06-11",24.1413
"2009-06-12",23.6196
"2009-06-13",23.8176
"2009-06-14",24.7204
"2009-06-15",24.7293
"2009-06-16",24.8113
"2009-06-17",24.0986
"2009-06-18",23.8357
"2009-06-19",23.533
"2009-06-20",23.9913
"2009-06-21",24.5108
"2009-06-22",24.1179
"2009-06-23",24.4936
"2009-06-24",24.2512
"2009-06-25",24.0656
"2009-06-26",23.4777
"2009-06-27",23.8265
"2009-06-28",23.7482
"2009-06-29",23.5065
"2009-06-30",23.2216
"2009-07-01",23.3374
"2009-07-02",23.5752
"2009-07-03",24.0937
"2009-07-04",24.1411
"2009-07-05",24.0118
"2009-07-06",23.6212
"2009-07-07",24.2863
"2009-07-08",24.1701
"2009-07-09",24.1128
"2009-07-10",24.2413
"2009-07-11",24.2927
"2009-07-12",24.4062
"2009-07-13",24.2266
"2009-07-14",24.1869
"2009-07-15",24.5668
"2009-07-16",23.5856
"2009-07-17",22.7688
"2009-07-18",24.5045
"2009-07-19",24.1282
"2009-07-20",24.3926
"2009-07-21",24.432
"2009-07-22",24.3277
"2009-07-23",24.4397
"2009-07-24",24.7818
"2009-07-25",24.5784
"2009-07-26",24.0524
"2009-07-27",24.2422
"2009-07-28",23.9189
"2009-07-29",24.3907
"2009-07-30",23.9893
"2009-07-31",24.2337
"2009-08-01",24.3205
"2009-08-02",24.1572
"2009-08-03",24.3881
"2009-08-04",24.4668
"2009-08-05",24.3952
"2009-08-06",24.3097
"2009-08-07",23.5881
"2009-08-08",24.1038
"2009-08-09",24.1728
"2009-08-10",24.2895
"2009-08-11",24.12
"2009-08-12",24.3464
"2009-08-13",24.4752
"2009-08-14",24.4819
"2009-08-15",24.2191
"2009-08-16",23.4256
"2009-08-17",22.7592
"2009-08-18",23.8791
"2009-08-19",23.9003
"2009-08-20",23.6862
"2009-08-21",23.7386
"2009-08-22",23.7877
"2009-08-23",23.6837
"2009-08-24",24.0815
"2009-08-25",24.4203
"2009-08-26",23.8238
"2009-08-27",24.1876
"2009-08-28",23.7598
"2009-08-29",24.0358
"2009-08-30",23.8576
"2009-08-31",23.7373
"2009-09-01",23.8318
"2009-09-02",23.5675
"2009-09-03",24.0243
"2009-09-04",23.7044
"2009-09-05",23.8728
"2009-09-06",23.6963
"2009-09-07",23.6764
"2009-09-08",23.9121
"2009-09-09",23.9156
"2009-09-10",23.9016
"2009-09-11",24.2717
"2009-09-12",24.4005
"2009-09-13",24.6582
"2009-09-14",24.2878
"2009-09-15",24.209
"2009-09-16",24.321
"2009-09-17",24.1912
"2009-09-18",22.899
"2009-09-19",23.9439
"2009-09-20",24.3376
"2009-09-21",23.2881
