,"(deg C) Mean Temperature (ERA5) at Polonnaruwa, 2007-01-01 to 2025-12-31"
"2009-06-06",29.2196
"2009-06-07",28.4511
"2009-06-08",29.0281
"2009-06-09",29.3145
"2009-06-10",29.5044
"2009-06-11",28.8646
"2009-06-12",28.3412
"2009-06-13",28.6215
"2009-06-14",29.4611
"2009-06-15",29.4781
"2009-06-16",29.6173
"2009-06-17",28.8208
"2009-06-18",28.5695
"2009-06-19",28.2969
"2009-06-20",28.6166
"2009-06-21",29.4412
"2009-06-22",28.9434
"2009-06-23",29.1965
"2009-06-24",29.1224
"2009-06-25",29.0894
"2009-06-26",28.5348
"2009-06-27",28.4693
"2009-06-28",28.922
"2009-06-29",28.4781
"2009-06-30",28.471
"2009-07-01",28.7147
"2009-07-02",28.3383
"2009-07-03",28.914
"2009-07-04",28.813
"2009-07-05",28.9322
"2009-07-06",28.6688
"2009-07-07",29.3917
"2009-07-08",29.6606
"2009-07-09",28.8974
"2009-07-10",29.3264
"2009-07-11",29.4203
"2009-07-12",29.4836
"2009-07-13",29.4116
"2009-07-14",28.7449
"2009-07-15",29.1125
"2009-07-16",28.3501
"2009-07-17",26.8263
"2009-07-18",29.1241
"2009-07-19",29.2302
"2009-07-20",29.3706
"2009-07-21",29.5124
"2009-07-22",29.4474
"2009-07-23",29.6298
"2009-07-24",29.773
"2009-07-25",29.8909
"2009-07-26",29.2505
"2009-07-27",28.9857
"2009-07-28",28.9057
"2009-07-29",29.3876
"2009-07-30",29.318
"2009-07-31",28.7305
"2009-08-01",28.1094
"2009-08-02",28.6898
"2009-08-03",29.3495
"2009-08-04",29.0312
"2009-08-05",29.4343
"2009-08-06",29.2986
"2009-08-07",29.0727
"2009-08-08",29.0995
"2009-08-09",29.5709
"2009-08-10",29.7002
"2009-08-11",29.2237
"2009-08-12",29.4968
"2009-08-13",28.9282
"2009-08-14",28.8279
"2009-08-15",28.2601
"2009-08-16",26.8989
"2009-08-17",25.7661
"2009-08-18",27.3365
"2009-08-19",26.9659
"2009-08-20",26.6469
"2009-08-21",27.5503
"2009-08-22",28.0288
"2009-08-23",27.6843
"2009-08-24",27.997
"2009-08-25",28.4748
"2009-08-26",28.2775
"2009-08-27",28.6299
"2009-08-28",28.1772
"2009-08-29",28.9676
"2009-08-30",28.5943
"2009-08-31",27.7015
"2009-09-01",28.2546
"2009-09-02",27.8041
"2009-09-03",28.6233
"2009-09-04",28.1402
"2009-09-05",28.2168
"2009-09-06",28.2045
"2009-09-07",28.1378
"2009-09-08",28.7846
"2009-09-09",28.77
"2009-09-10",28.9701
"2009-09-11",29.5975
"2009-09-12",29.7972
"2009-09-13",29.5712
"2009-09-14",29.2838
"2009-09-15",29.1819
"2009-09-16",29.2678
"2009-09-17",28.9069
"2009-09-18",27.7109
"2009-09-19",28.4835
"2009-09-20",29.2393
"2009-09-21",28.1324
"2009-09-22",28.4101
"2009-09-23",28.7739
"2009-09-24",29.0713
"2009-09-25",29.0263
"2009-09-26",29.2445
"2009-09-27",29.0888
"2009-09-28",28.9369
"2009-09-29",27.6851
"2009-09-30",28.4574
"2009-10-01",27.5533
"2009-10-02",26.8428
"2009-10-03",27.852
"2009-10-04",28.7624
"2009-10-05",28.8905
"2009-10-06",28.9397
"2009-10-07",28.8626
"2009-10-08",29.0797
"2009-10-09",29.3075
"2009-10-10",29.605
"2009-10-11",29.2603
"2009-10-12",27.6551
"2009-10-13",27.0105
"2009-10-14",27.5648
"2009-10-15",28.0948
"2009-10-16",28.7478
"2009-10-17",29.1381
"2009-10-18",28.9008
"2009-10-19",27.7592
"2009-10-20",28.4414
"2009-10-21",28.2088
"2009-10-22",27.5678
"2009-10-23",27.7831
"2009-10-24",28.3561
"2009-10-25",28.6282
"2009-10-26",28.2696
"2009-10-27",28.5935
"2009-10-28",26.9299
"2009-10-29",25.7559
"2009-10-30",26.6972
"2009-10-31",25.6485
"2009-11-01",25.8366
"2009-11-02",25.2432
"2009-11-03",24.9122
"2009-11-04",24.4802
"2009-11-05",25.316
"2009-11-06",26.5435
"2009-11-07",25.9704
"2009-11-08",25.9555
"2009-11-09",26.0681
"2009-11-10",26.2453
"2009-11-11",27.1833
"2009-11-12",27.0118
"2009-11-13",25.839
"2009-11-14",25.3219
"2009-11-15",24.583
"2009-11-16",26.4793
"2009-11-17",26.6166
"2009-11-18",26.0324
"2009-11-19",26.3816
"2009-11-20",24.8201
"2009-11-21",24.8909
"2009-11-22",25.2658
"2009-11-23",26.3654
"2009-11-24",25.7453
"2009-11-25",25.6982
"2009-11-26",25.2182
"2009-11-27",25.5552
"2009-11-28",24.9586
"2009-11-29",26.1047
"2009-11-30",25.8552
"2009-12-01",25.6428
"2009-12-02",25.4844
"2009-12-03",26.2576
"2009-12-04",26.0767
