,"(deg C) Mean Temperature (ERA5) at Matara, 2007-01-01 to 2025-12-31"
"2008-07-17",25.3209
"2008-07-18",24.8333
"2008-07-19",24.9317
"2008-07-20",25.156
"2008-07-21",25.4485
"2008-07-22",25.2069
"2008-07-23",24.6015
"2008-07-24",25.143
"2008-07-25",25.7707
"2008-07-26",25.2339
"2008-07-27",25.0651
"2008-07-28",24.598
"2008-07-29",25.0649
"2008-07-30",25.055
"2008-07-31",25.213
"2008-08-01",25.3371
"2008-08-02",26.04
"2008-08-03",25.3634
"2008-08-04",25.7424
"2008-08-05",25.6122
"2008-08-06",25.8838
"2008-08-07",25.6281
"2008-08-08",25.9244
"2008-08-09",25.7302
"2008-08-10",25.8501
"2008-08-11",25.7053
"2008-08-12",25.0865
"2008-08-13",25.5558
"2008-08-14",25.1638
"2008-08-15",25.8843
"2008-08-16",25.7798
"2008-08-17",25.3954
"2008-08-18",25.7943
"2008-08-19",25.9688
"2008-08-20",25.6224
"2008-08-21",25.0187
"2008-08-22",25.7567
"2008-08-23",25.187
"2008-08-24",24.9832
"2008-08-25",25.0717
"2008-08-26",24.4918
"2008-08-27",25.0164
"2008-08-28",24.7063
"2008-08-29",24.2414
"2008-08-30",23.733
"2008-08-31",24.4889
"2008-09-01",25.8049
"2008-09-02",26.0928
"2008-09-03",26.1063
"2008-09-04",24.727
"2008-09-05",24.7242
"2008-09-06",24.2708
"2008-09-07",24.3055
"2008-09-08",24.6635
"2008-09-09",26.1897
"2008-09-10",26.6093
"2008-09-11",25.3258
"2008-09-12",26.1804
"2008-09-13",26.2132
"2008-09-14",26.0041
"2008-09-15",25.4524
"2008-09-16",26.284
"2008-09-17",26.5479
"2008-09-18",26.3408
"2008-09-19",25.8566
"2008-09-20",26.1851
"2008-09-21",25.8309
"2008-09-22",26.0734
"2008-09-23",25.841
"2008-09-24",25.9765
"2008-09-25",25.9967
"2008-09-26",26.0619
"2008-09-27",26.3245
"2008-09-28",26.037
"2008-09-29",25.5597
"2008-09-30",25.9492
"2008-10-01",26.1337
"2008-10-02",25.9657
"2008-10-03",26.3224
"2008-10-04",25.6021
"2008-10-05",25.9764
"2008-10-06",26.1964
"2008-10-07",25.1728
"2008-10-08",25.0783
"2008-10-09",25.1421
"2008-10-10",25.651
"2008-10-11",24.9712
"2008-10-12",24.7063
"2008-10-13",25.0416
"2008-10-14",25.1197
"2008-10-15",25.6284
"2008-10-16",25.2454
"2008-10-17",25.6942
"2008-10-18",25.1487
"2008-10-19",25.0529
"2008-10-20",24.8148
"2008-10-21",24.5285
"2008-10-22",24.7451
"2008-10-23",25.7208
"2008-10-24",25.0998
"2008-10-25",26.0051
"2008-10-26",25.2716
"2008-10-27",25.973
"2008-10-28",25.9581
"2008-10-29",25.6214
"2008-10-30",25.7672
"2008-10-31",24.9964
"2008-11-01",25.0791
"2008-11-02",24.9105
"2008-11-03",25.2759
"2008-11-04",25.3868
"2008-11-05",25.6627
"2008-11-06",25.0576
"2008-11-07",25.9862
"2008-11-08",25.4298
"2008-11-09",25.009
"2008-11-10",24.738
"2008-11-11",24.6873
"2008-11-12",25.447
"2008-11-13",26.0446
"2008-11-14",25.8327
"2008-11-15",25.8288
"2008-11-16",25.4271
"2008-11-17",25.8015
"2008-11-18",25.3662
"2008-11-19",25.946
"2008-11-20",24.9247
"2008-11-21",24.9826
"2008-11-22",25.357
"2008-11-23",24.6418
"2008-11-24",24.4112
"2008-11-25",24.7631
"2008-11-26",25.2112
"2008-11-27",24.9904
"2008-11-28",25.5329
"2008-11-29",23.8413
"2008-11-30",25.1032
"2008-12-01",25.491
"2008-12-02",24.7801
"2008-12-03",25.3766
"2008-12-04",25.0531
"2008-12-05",25.2125
"2008-12-06",24.9919
"2008-12-07",25.0583
"2008-12-08",25.1017
"2008-12-09",25.1541
"2008-12-10",25.2154
"2008-12-11",24.6365
"2008-12-12",24.6571
"2008-12-13",24.8696
"2008-12-14",25.2934
"2008-12-15",25.2006
"2008-12-16",24.7444
"2008-12-17",24.4971
"2008-12-18",24.4744
"2008-12-19",25.1858
"2008-12-20",24.9728
"2008-12-21",25.1375
"2008-12-22",24.9695
"2008-12-23",25.035
"2008-12-24",24.7293
"2008-12-25",25.0329
"2008-12-26",25.2201
"2008-12-27",24.7556
"2008-12-28",24.9763
"2008-12-29",24.9802
"2008-12-30",24.7235
"2008-12-31",24.4842
"2009-01-01",24.4415
"2009-01-02",24.4625
"2009-01-03",24.6743
"2009-01-04",25.0261
"2009-01-05",25.4862
"2009-01-06",24.2567
"2009-01-07",25.6037
"2009-01-08",25.5632
"2009-01-09",24.262
"2009-01-10",24.9769
"2009-01-11",25.0645
"2009-01-12",25.4582
"2009-01-13",24.8571
"2009-01-14",24.3272
"2009-01-15",24.6584
"2009-01-16",24.4634
"2009-01-17",24.8493
"2009-01-18",25.2686
"2009-01-19",25.7384
"2009-01-20",25.8177
"2009-01-21",25.6998
"2009-01-22",25.6223
"2009-01-23",25.5164
"2009-01-24",24.8523
"2009-01-25",24.9645
"2009-01-26",25.6677
"2009-01-27",25.7216
"2009-01-28",25.6724
"2009-01-29",25.8994
"2009-01-30",25.1992
"2009-01-31",25.4849
"2009-02-01",26.1596
"2009-02-02",25.9296
"2009-02-03",26.1653
"2009-02-04",26.0919
"2009-02-05",26.0439
"2009-02-06",26.1674
"2009-02-07",25.9148
"2009-02-08",25.1237
"2009-02-09",25.3072
"2009-02-10",26.1492
"2009-02-11",26.5137
"2009-02-12",25.6074
"2009-02-13",25.9456
"2009-02-14",25.8515
"2009-02-15",26.5101
"2009-02-16",25.9311
"2009-02-17",26.1912
"2009-02-18",26.1748
"2009-02-19",25.9241
"2009-02-20",27.323
"2009-02-21",27.4347
"2009-02-22",26.8745
"2009-02-23",26.2275
"2009-02-24",26.8394
"2009-02-25",26.8007
"2009-02-26",27.1562
"2009-02-27",26.8683
"2009-02-28",27.1224
"2009-03-01",27.0919
"2009-03-02",26.6819
"2009-03-03",26.6567
"2009-03-04",26.6238
"2009-03-05",27.2339
"2009-03-06",26.7506
"2009-03-07",26.2171
"2009-03-08",25.0924
"2009-03-09",25.8505
"2009-03-10",25.6313
"2009-03-11",25.7706
"2009-03-12",25.4277
"2009-03-13",25.4187
"2009-03-14",24.7775
"2009-03-15",25.6996
"2009-03-16",25.5484
"2009-03-17",25.5629
"2009-03-18",25.89
"2009-03-19",26.3136
"2009-03-20",25.6725
"2009-03-21",26.2321
"2009-03-22",26.7569
"2009-03-23",26.6364
"2009-03-24",25.4084
"2009-03-25",26.0139
"2009-03-26",25.9516
"2009-03-27",25.9341
"2009-03-28",26.0649
"2009-03-29",25.7667
"2009-03-30",25.5119
"2009-03-31",26.5169
"2009-04-01",26.1252
"2009-04-02",25.6141
"2009-04-03",25.3117
"2009-04-04",25.3755
"2009-04-05",25.1696
"2009-04-06",25.9165
"2009-04-07",25.7563
"2009-04-08",24.9734
"2009-04-09",25.1624
"2009-04-10",25.1124
"2009-04-11",25.8122
"2009-04-12",26.6624
"2009-04-13",26.1401
"2009-04-14",26.8558
"2009-04-15",27.5518
"2009-04-16",27.2587
"2009-04-17",27.5987
"2009-04-18",27.5356
"2009-04-19",27.4286
"2009-04-20",27.1063
"2009-04-21",27.0429
"2009-04-22",26.4994
"2009-04-23",27.0092
"2009-04-24",27.1724
"2009-04-25",27.5486
"2009-04-26",26.5285
"2009-04-27",26.492
"2009-04-28",26.8234
"2009-04-29",26.6033
"2009-04-30",26.7038
"2009-05-01",26.718
"2009-05-02",27.5469
"2009-05-03",27.0827
"2009-05-04",26.8662
"2009-05-05",26.6474
"2009-05-06",26.7472
"2009-05-07",27.1545
"2009-05-08",26.5026
"2009-05-09",26.7702
"2009-05-10",26.9196
"2009-05-11",27.3856
