,"(deg C) Mean Temperature (ERA5) at Jaffna, 2007-01-01 to 2025-12-31"
"2009-10-03",28.3289
"2009-10-04",28.5937
"2009-10-05",28.4372
"2009-10-06",28.2471
"2009-10-07",28.3468
"2009-10-08",28.4349
"2009-10-09",28.2042
"2009-10-10",28.079
"2009-10-11",28.0238
"2009-10-12",27.5065
"2009-10-13",27.6493
"2009-10-14",27.9229
"2009-10-15",27.9409
"2009-10-16",27.9762
"2009-10-17",28.2068
"2009-10-18",28.4041
"2009-10-19",28.2054
"2009-10-20",28.3197
"2009-10-21",28.1936
"2009-10-22",28.6468
"2009-10-23",28.7078
"2009-10-24",28.2966
"2009-10-25",28.3687
"2009-10-26",28.59
"2009-10-27",28.3653
"2009-10-28",26.616
"2009-10-29",26.5404
"2009-10-30",27.3267
"2009-10-31",26.7818
"2009-11-01",26.724
"2009-11-02",26.8054
"2009-11-03",26.2643
"2009-11-04",26.1692
"2009-11-05",26.3661
"2009-11-06",26.3416
"2009-11-07",26.6446
"2009-11-08",26.7645
"2009-11-09",26.4164
"2009-11-10",27.0002
"2009-11-11",27.7013
"2009-11-12",28.053
"2009-11-13",27.0005
"2009-11-14",26.4857
"2009-11-15",26.5074
"2009-11-16",26.8172
"2009-11-17",26.9036
"2009-11-18",26.7785
"2009-11-19",26.9552
"2009-11-20",25.8968
"2009-11-21",26.4018
"2009-11-22",26.4365
"2009-11-23",26.6035
"2009-11-24",27.0814
"2009-11-25",26.9764
"2009-11-26",27.4884
"2009-11-27",27.8659
"2009-11-28",27.0096
"2009-11-29",25.6987
"2009-11-30",25.6495
"2009-12-01",25.7041
"2009-12-02",25.9727
"2009-12-03",26.2198
"2009-12-04",25.9152
"2009-12-05",26.7409
