,"(deg C) Mean Temperature (ERA5) at Kandy, 2007-01-01 to 2025-12-31"
"2008-12-03",23.8305
"2008-12-04",23.5807
"2008-12-05",23.3824
"2008-12-06",21.7437
"2008-12-07",22.2652
"2008-12-08",23.8911
"2008-12-09",23.9091
"2008-12-10",23.7314
"2008-12-11",23.0862
"2008-12-12",23.1804
"2008-12-13",23.3824
"2008-12-14",23.6945
"2008-12-15",23.5432
"2008-12-16",22.7036
"2008-12-17",22.7714
"2008-12-18",23.0338
"2008-12-19",23.4896
"2008-12-20",23.625
"2008-12-21",22.3812
"2008-12-22",22.4701
"2008-12-23",23.2904
"2008-12-24",23.3935
"2008-12-25",23.3583
"2008-12-26",23.3182
"2008-12-27",22.7696
"2008-12-28",21.9184
"2008-12-29",21.8392
"2008-12-30",21.6013
"2008-12-31",21.1992
"2009-01-01",21.6262
"2009-01-02",22.0461
"2009-01-03",22.4486
"2009-01-04",23.2237
"2009-01-05",23.3201
"2009-01-06",21.8369
"2009-01-07",23.8017
"2009-01-08",23.3552
"2009-01-09",22.1201
"2009-01-10",23.0364
"2009-01-11",23.2114
"2009-01-12",23.3008
"2009-01-13",22.8225
"2009-01-14",22.3513
"2009-01-15",22.6926
"2009-01-16",22.2916
"2009-01-17",22.5977
"2009-01-18",22.8823
"2009-01-19",23.1975
"2009-01-20",23.0883
"2009-01-21",22.8029
"2009-01-22",22.541
"2009-01-23",22.7079
"2009-01-24",22.7536
"2009-01-25",22.3764
"2009-01-26",23.3468
"2009-01-27",23.7982
"2009-01-28",23.9388
"2009-01-29",23.0027
"2009-01-30",21.8535
"2009-01-31",22.0868
"2009-02-01",22.5912
"2009-02-02",22.3502
"2009-02-03",22.5216
"2009-02-04",22.3639
"2009-02-05",22.1396
"2009-02-06",22.3108
"2009-02-07",22.3971
"2009-02-08",21.8545
"2009-02-09",21.8597
"2009-02-10",23.1354
"2009-02-11",24.4089
"2009-02-12",23.6327
"2009-02-13",22.7863
"2009-02-14",22.785
"2009-02-15",23.3879
"2009-02-16",23.8695
"2009-02-17",23.1212
"2009-02-18",23.0891
"2009-02-19",23.2471
"2009-02-20",25.1035
"2009-02-21",25.3268
"2009-02-22",24.6498
"2009-02-23",24.5642
"2009-02-24",25.0978
"2009-02-25",25.6815
"2009-02-26",25.8466
"2009-02-27",25.8804
"2009-02-28",26.1008
"2009-03-01",25.9383
"2009-03-02",24.6074
"2009-03-03",24.8298
"2009-03-04",25.5846
"2009-03-05",25.9969
"2009-03-06",26.3403
"2009-03-07",26.4517
"2009-03-08",24.1457
"2009-03-09",23.1774
"2009-03-10",23.7731
"2009-03-11",24.2341
"2009-03-12",24.2014
"2009-03-13",23.7862
"2009-03-14",23.3911
"2009-03-15",24.6195
"2009-03-16",24.9955
"2009-03-17",24.7028
"2009-03-18",25.293
"2009-03-19",25.7141
"2009-03-20",24.5548
"2009-03-21",25.2931
"2009-03-22",25.8989
"2009-03-23",25.884
"2009-03-24",23.9231
"2009-03-25",24.8647
"2009-03-26",24.4493
"2009-03-27",24.5244
"2009-03-28",25.1864
"2009-03-29",24.6002
"2009-03-30",24.2066
"2009-03-31",25.2932
"2009-04-01",25.7985
"2009-04-02",24.6963
"2009-04-03",24.4479
"2009-04-04",24.5155
"2009-04-05",24.2704
"2009-04-06",24.7808
"2009-04-07",25.2625
"2009-04-08",24.0335
"2009-04-09",24.339
"2009-04-10",23.6104
"2009-04-11",23.9483
"2009-04-12",24.812
"2009-04-13",24.1523
"2009-04-14",25.32
"2009-04-15",25.7688
"2009-04-16",25.8818
"2009-04-17",26.2965
"2009-04-18",26.4135
"2009-04-19",26.5584
"2009-04-20",25.8034
"2009-04-21",25.6673
"2009-04-22",25.597
"2009-04-23",25.8572
"2009-04-24",26.0075
"2009-04-25",26.5279
"2009-04-26",26.0238
"2009-04-27",25.9935
"2009-04-28",26.1586
"2009-04-29",25.7529
"2009-04-30",25.7743
"2009-05-01",25.9351
"2009-05-02",26.9729
"2009-05-03",26.9792
"2009-05-04",27.0614
"2009-05-05",26.2653
"2009-05-06",26.1817
"2009-05-07",26.9934
"2009-05-08",26.3542
"2009-05-09",26.3867
"2009-05-10",26.3107
"2009-05-11",26.9614
"2009-05-12",26.895
"2009-05-13",26.2527
"2009-05-14",26.5681
"2009-05-15",26.6134
"2009-05-16",26.7915
"2009-05-17",25.8202
"2009-05-18",25.9357
"2009-05-19",25.1203
"2009-05-20",24.1074
"2009-05-21",24.5804
"2009-05-22",24.8418
"2009-05-23",24.5642
"2009-05-24",24.2953
"2009-05-25",25.6888
