,"(mm) Precipitation (CHIRPS) at Matara, 2007-01-01 to 2025-12-31"
"2008-09-06",0
"2008-09-07",19.5987
"2008-09-08",1.4569
"2008-09-09",0.1669
"2008-09-10",0
"2008-09-11",0
"2008-09-12",0
"2008-09-13",0
"2008-09-14",0
"2008-09-15",0.0107
"2008-09-16",0
"2008-09-17",0
"2008-09-18",0
"2008-09-19",0
"2008-09-20",0
"2008-09-21",0
"2008-09-22",0
"2008-09-23",0
"2008-09-24",0
"2008-09-25",0.4755
"2008-09-26",0.1105
"2008-09-27",4.228
"2008-09-28",0
"2008-09-29",0
"2008-09-30",0
"2008-10-01",0
"2008-10-02",0
"2008-10-03",0.0661
"2008-10-04",0.8089
"2008-10-05",0.1248
"2008-10-06",0.8476
"2008-10-07",5.6646
"2008-10-08",10.5981
"2008-10-09",6.4322
"2008-10-10",18.5291
"2008-10-11",38.8961
"2008-10-12",34.4146
"2008-10-13",1.7062
"2008-10-14",8.3804
"2008-10-15",0.0048
"2008-10-16",2.9203
"2008-10-17",16.7571
"2008-10-18",27.3873
"2008-10-19",46.6402
"2008-10-20",36.9691
"2008-10-21",26.4076
"2008-10-22",0
"2008-10-23",0
"2008-10-24",26.5336
"2008-10-25",37.3679
"2008-10-26",0.6105
"2008-10-27",3.653
"2008-10-28",0
"2008-10-29",0
"2008-10-30",0
"2008-10-31",1.7472
"2008-11-01",0
"2008-11-02",0
"2008-11-03",0
"2008-11-04",0
"2008-11-05",0
"2008-11-06",0
"2008-11-07",8.5762
"2008-11-08",6.8151
"2008-11-09",11.9754
"2008-11-10",23.1291
"2008-11-11",17.2359
"2008-11-12",7.9934
"2008-11-13",8.3765
"2008-11-14",4.0323
"2008-11-15",0.0498
"2008-11-16",0
"2008-11-17",0
"2008-11-18",7.4871
"2008-11-19",3.3726
"2008-11-20",30.2067
"2008-11-21",11.2931
"2008-11-22",27.8704
"2008-11-23",13.2945
"2008-11-24",34.4543
"2008-11-25",4.4384
"2008-11-26",22.9125
"2008-11-27",2.9491
"2008-11-28",37.4029
"2008-11-29",28.7235
"2008-11-30",15.7732
"2008-12-01",0.4828
"2008-12-02",5.5693
"2008-12-03",0
"2008-12-04",0
"2008-12-05",22.4194
"2008-12-06",13.583
"2008-12-07",0.6246
"2008-12-08",30.982
"2008-12-09",0
"2008-12-10",15.0282
"2008-12-11",15.3169
"2008-12-12",0
"2008-12-13",0
"2008-12-14",0.5996
"2008-12-15",12.8358
"2008-12-16",13.4331
"2008-12-17",7.792
"2008-12-18",3.137
"2008-12-19",11.5542
"2008-12-20",0
"2008-12-21",0
"2008-12-22",0
"2008-12-23",1.1328
"2008-12-24",0
"2008-12-25",0
"2008-12-26",0
"2008-12-27",0
"2008-12-28",0
"2008-12-29",0
"2008-12-30",1.3505
"2008-12-31",0
"2009-01-01",0
"2009-01-02",0
"2009-01-03",0
"2009-01-04",0
"2009-01-05",0
"2009-01-06",14.6065
"2009-01-07",0
"2009-01-08",0.8236
"2009-01-09",23.496
"2009-01-10",5.7056
"2009-01-11",0
"2009-01-12",0
"2009-01-13",0
"2009-01-14",0
"2009-01-15",0
"2009-01-16",0
"2009-01-17",0
"2009-01-18",0
"2009-01-19",0
"2009-01-20",0
"2009-01-21",0.0452
"2009-01-22",0.9566
"2009-01-23",0
"2009-01-24",0
"2009-01-25",0.4833
"2009-01-26",0
"2009-01-27",5.2987
"2009-01-28",5.6788
"2009-01-29",0.2136
"2009-01-30",0
"2009-01-31",0
"2009-02-01",0
"2009-02-02",0.5469
"2009-02-03",0
"2009-02-04",0
"2009-02-05",0
"2009-02-06",0
"2009-02-07",0
"2009-02-08",0
"2009-02-09",0
"2009-02-10",0.1608
"2009-02-11",0
"2009-02-12",0
"2009-02-13",0
"2009-02-14",0
"2009-02-15",1.7687
"2009-02-16",0
"2009-02-17",0
"2009-02-18",0
"2009-02-19",0
"2009-02-20",0
"2009-02-21",0.5872
"2009-02-22",1.9311
"2009-02-23",21.6988
"2009-02-24",5.9273
"2009-02-25",0.6486
"2009-02-26",0
"2009-02-27",0
"2009-02-28",0
"2009-03-01",0
"2009-03-02",0
"2009-03-03",0
"2009-03-04",0
"2009-03-05",0.6107
"2009-03-06",0.6529
"2009-03-07",19.8479
"2009-03-08",23.4356
"2009-03-09",11.6535
"2009-03-10",11.4847
"2009-03-11",0.1591
"2009-03-12",26.634
"2009-03-13",13.1547
"2009-03-14",46.6855
"2009-03-15",11.5278
"2009-03-16",9.9706
"2009-03-17",20.4742
"2009-03-18",9.7641
"2009-03-19",9.4834
"2009-03-20",10.2869
"2009-03-21",3.2421
"2009-03-22",0.6012
"2009-03-23",6.001
"2009-03-24",22.5276
"2009-03-25",21.409
"2009-03-26",17.0006
"2009-03-27",25.471
"2009-03-28",24.2215
