,"(mm) Precipitation (CHIRPS) at Puttalam, 2007-01-01 to 2025-12-31"
"2008-10-28",0
"2008-10-29",0
"2008-10-30",0
"2008-10-31",0
"2008-11-01",0
"2008-11-02",0
"2008-11-03",0
"2008-11-04",0
"2008-11-05",0
"2008-11-06",0
"2008-11-07",0
"2008-11-08",2.5272
"2008-11-09",1.3893
"2008-11-10",15.4519
"2008-11-11",12.6469
"2008-11-12",5.2933
"2008-11-13",3.1675
"2008-11-14",0.2232
"2008-11-15",1.5261
"2008-11-16",0
"2008-11-17",0.2355
"2008-11-18",1.3571
"2008-11-19",4.7228
"2008-11-20",16.2392
"2008-11-21",8.3257
"2008-11-22",19.0727
"2008-11-23",24.4422
"2008-11-24",25.0672
"2008-11-25",35.1666
"2008-11-26",13.7728
"2008-11-27",4.937
"2008-11-28",14.3192
"2008-11-29",11.734
"2008-11-30",7.7057
"2008-12-01",0
"2008-12-02",0
"2008-12-03",0
"2008-12-04",0
"2008-12-05",0
"2008-12-06",16.2648
"2008-12-07",33.6871
"2008-12-08",14.2687
"2008-12-09",10.1719
"2008-12-10",4.2834
"2008-12-11",1.2659
"2008-12-12",0
"2008-12-13",0
"2008-12-14",0.5063
"2008-12-15",5.679
"2008-12-16",2.2298
"2008-12-17",10.2054
"2008-12-18",1.1117
"2008-12-19",0.0053
"2008-12-20",0
"2008-12-21",0
"2008-12-22",0.6459
"2008-12-23",0
"2008-12-24",0
"2008-12-25",0
"2008-12-26",0
"2008-12-27",0
"2008-12-28",0
"2008-12-29",0
"2008-12-30",0
"2008-12-31",0
"2009-01-01",0
"2009-01-02",0
"2009-01-03",0
"2009-01-04",0
"2009-01-05",0
"2009-01-06",2.3108
"2009-01-07",0
"2009-01-08",4.204
"2009-01-09",22.7805
"2009-01-10",3.2892
"2009-01-11",0
"2009-01-12",0
"2009-01-13",0
"2009-01-14",0
"2009-01-15",0
"2009-01-16",0
"2009-01-17",0
"2009-01-18",0
"2009-01-19",0
"2009-01-20",0
"2009-01-21",0
"2009-01-22",0.1532
"2009-01-23",0
"2009-01-24",0
"2009-01-25",2.3708
"2009-01-26",7.2426
"2009-01-27",1.5753
"2009-01-28",0.0825
"2009-01-29",3.2195
"2009-01-30",0
"2009-01-31",0
"2009-02-01",0
"2009-02-02",0
"2009-02-03",0
"2009-02-04",0
"2009-02-05",0
"2009-02-06",0
"2009-02-07",0
"2009-02-08",0
"2009-02-09",0
"2009-02-10",0
"2009-02-11",0
"2009-02-12",0
"2009-02-13",0
"2009-02-14",0
"2009-02-15",0
"2009-02-16",0
"2009-02-17",0
"2009-02-18",0
"2009-02-19",0.0436
"2009-02-20",0
"2009-02-21",0
"2009-02-22",4.4096
"2009-02-23",6.0356
"2009-02-24",0.1242
"2009-02-25",0.3119
"2009-02-26",0
"2009-02-27",0
"2009-02-28",0
"2009-03-01",0
"2009-03-02",0
"2009-03-03",0
"2009-03-04",0
"2009-03-05",0
"2009-03-06",0.9032
"2009-03-07",0.939
"2009-03-08",36.3918
"2009-03-09",20.5907
"2009-03-10",20.2123
"2009-03-11",15.5707
"2009-03-12",9.8255
"2009-03-13",4.7548
"2009-03-14",18.3743
"2009-03-15",0.9982
"2009-03-16",0
"2009-03-17",0
"2009-03-18",0
"2009-03-19",0
"2009-03-20",1.7938
"2009-03-21",0
"2009-03-22",0
"2009-03-23",0.8164
"2009-03-24",0.9363
"2009-03-25",6.0734
"2009-03-26",0.0019
"2009-03-27",0
"2009-03-28",3.2644
"2009-03-29",3.2632
"2009-03-30",0.8875
"2009-03-31",0.0333
"2009-04-01",0.7555
"2009-04-02",3.5882
"2009-04-03",5.5104
"2009-04-04",13.4726
"2009-04-05",14.6773
"2009-04-06",4.5446
"2009-04-07",10.7526
"2009-04-08",17.1193
"2009-04-09",12.1445
"2009-04-10",26.0146
"2009-04-11",29.3545
