,"(mm) Precipitation (CHIRPS) at Kegalle, 2007-01-01 to 2025-12-31"
"2009-03-07",0
"2009-03-08",33.1675
"2009-03-09",10.348
"2009-03-10",10.6995
"2009-03-11",16.8279
"2009-03-12",26.2155
"2009-03-13",26.5969
"2009-03-14",32.0321
"2009-03-15",19.6903
"2009-03-16",0.9029
"2009-03-17",11.4923
"2009-03-18",0
"2009-03-19",7.5951
"2009-03-20",24.9183
"2009-03-21",9.2698
"2009-03-22",0.1434
"2009-03-23",16.8366
"2009-03-24",14.6974
"2009-03-25",20.5517
"2009-03-26",18.5658
"2009-03-27",15.0991
"2009-03-28",4.637
"2009-03-29",23.4918
"2009-03-30",25.1695
"2009-03-31",11.1319
"2009-04-01",9.9693
"2009-04-02",5.5107
"2009-04-03",12.7488
"2009-04-04",8.2525
"2009-04-05",15.9631
"2009-04-06",11.8821
"2009-04-07",11.2224
"2009-04-08",12.1655
"2009-04-09",22.3339
"2009-04-10",24.0871
"2009-04-11",34.925
"2009-04-12",2.4026
"2009-04-13",18.8385
"2009-04-14",2.9125
"2009-04-15",0
"2009-04-16",0.082
"2009-04-17",0
"2009-04-18",0
"2009-04-19",4.0879
"2009-04-20",0.5041
"2009-04-21",0
"2009-04-22",6.6919
"2009-04-23",9.9877
"2009-04-24",3.5076
"2009-04-25",0
"2009-04-26",9.6329
"2009-04-27",5.3293
"2009-04-28",2.6737
"2009-04-29",0
"2009-04-30",0
"2009-05-01",0.5013
"2009-05-02",0
"2009-05-03",0
"2009-05-04",0
"2009-05-05",0.6558
"2009-05-06",11.9671
"2009-05-07",20.7149
"2009-05-08",2.6731
"2009-05-09",0.0029
"2009-05-10",0.2034
"2009-05-11",0
"2009-05-12",22.0964
"2009-05-13",2.6496
"2009-05-14",0.0132
"2009-05-15",0
"2009-05-16",5.2784
"2009-05-17",10.0337
"2009-05-18",10.2028
"2009-05-19",42.6967
"2009-05-20",19.4172
"2009-05-21",33.3371
"2009-05-22",9.1313
"2009-05-23",14.0159
"2009-05-24",3.1618
"2009-05-25",7.7843
"2009-05-26",26.9864
"2009-05-27",7.1472
"2009-05-28",0
"2009-05-29",0
"2009-05-30",27.1761
"2009-05-31",8.6968
"2009-06-01",2.5614
"2009-06-02",0
"2009-06-03",0
"2009-06-04",0
"2009-06-05",26.8146
"2009-06-06",13.3755
"2009-06-07",20.9035
"2009-06-08",0.0722
"2009-06-09",0
"2009-06-10",0
"2009-06-11",1.206
"2009-06-12",3.5524
"2009-06-13",16.0049
"2009-06-14",0
"2009-06-15",0
"2009-06-16",0
"2009-06-17",2.7072
"2009-06-18",13.2349
"2009-06-19",49.2156
"2009-06-20",2.7574
"2009-06-21",0
"2009-06-22",1.9614
"2009-06-23",0.0117
"2009-06-24",24.0485
"2009-06-25",30.1252
"2009-06-26",4.8037
"2009-06-27",27.5588
"2009-06-28",17.7839
"2009-06-29",45.1414
"2009-06-30",16.6669
"2009-07-01",10.873
"2009-07-02",0
"2009-07-03",0
"2009-07-04",0
"2009-07-05",4.1778
"2009-07-06",33.5239
"2009-07-07",0
"2009-07-08",0
"2009-07-09",0
"2009-07-10",0
"2009-07-11",4.2309
"2009-07-12",0
"2009-07-13",0
"2009-07-14",26.9216
"2009-07-15",3.2054
"2009-07-16",6.6605
"2009-07-17",46.0408
"2009-07-18",0
"2009-07-19",1.068
"2009-07-20",0
"2009-07-21",0
"2009-07-22",0
"2009-07-23",0
"2009-07-24",4.4113
"2009-07-25",9.9089
"2009-07-26",7.782
"2009-07-27",0.2508
"2009-07-28",0
"2009-07-29",4.6045
"2009-07-30",10.6529
"2009-07-31",8.2918
"2009-08-01",0
"2009-08-02",6.2268
"2009-08-03",0
"2009-08-04",0
"2009-08-05",0
"2009-08-06",0
"2009-08-07",10.9427
"2009-08-08",0.9543
"2009-08-09",0.4229
"2009-08-10",0
"2009-08-11",7.3333
"2009-08-12",9.3427
"2009-08-13",13.9008
"2009-08-14",20.2095
"2009-08-15",30.9768
"2009-08-16",51.7315
"2009-08-17",5.0447
"2009-08-18",24.8349
"2009-08-19",23.9567
"2009-08-20",26.633
"2009-08-21",2.1867
"2009-08-22",13.756
"2009-08-23",0
"2009-08-24",0
"2009-08-25",0.3615
"2009-08-26",0
"2009-08-27",1.4502
"2009-08-28",11.6881
"2009-08-29",1.8038
"2009-08-30",14.3734
"2009-08-31",1.2638
"2009-09-01",0
"2009-09-02",32.558
"2009-09-03",0
"2009-09-04",0.7807
"2009-09-05",9.2089
"2009-09-06",0.1414
"2009-09-07",0
"2009-09-08",0
"2009-09-09",10.5974
"2009-09-10",0
"2009-09-11",5.1835
"2009-09-12",0.5153
"2009-09-13",8.7083
"2009-09-14",0
"2009-09-15",0
"2009-09-16",0
"2009-09-17",1.0773
"2009-09-18",69.3552
"2009-09-19",0
"2009-09-20",1.9727
"2009-09-21",19.4044
"2009-09-22",13.1172
"2009-09-23",27.4873
"2009-09-24",0
"2009-09-25",0
"2009-09-26",0
"2009-09-27",0
"2009-09-28",0
"2009-09-29",1.9365
"2009-09-30",15.7984
"2009-10-01",3.5531
"2009-10-02",23.4136
"2009-10-03",0.0064
"2009-10-04",6.416
"2009-10-05",0
"2009-10-06",0
"2009-10-07",0.9684
"2009-10-08",0
"2009-10-09",0
"2009-10-10",0.2152
"2009-10-11",12.1574
"2009-10-12",34.4428
"2009-10-13",16.6699
"2009-10-14",54.0676
"2009-10-15",1.2254
"2009-10-16",20.3367
"2009-10-17",1.6375
"2009-10-18",23.7299
"2009-10-19",15.6187
"2009-10-20",26.9802
"2009-10-21",2.6998
"2009-10-22",0
"2009-10-23",0
"2009-10-24",4.8693
"2009-10-25",1.1238
"2009-10-26",0.5359
"2009-10-27",9.7818
"2009-10-28",20.6433
"2009-10-29",23.8961
"2009-10-30",6.1957
"2009-10-31",38.8272
"2009-11-01",0.0105
"2009-11-02",22.9786
"2009-11-03",9.5297
"2009-11-04",14.4847
"2009-11-05",9.311
"2009-11-06",50.4686
"2009-11-07",4.931
"2009-11-08",20.6476
"2009-11-09",37.4734
"2009-11-10",5.4598
"2009-11-11",0
"2009-11-12",35.6143
"2009-11-13",23.5668
"2009-11-14",31.2307
"2009-11-15",21.6079
"2009-11-16",12.4673
"2009-11-17",35.67
"2009-11-18",25.7904
"2009-11-19",17.1868
"2009-11-20",34.4825
"2009-11-21",8.6459
"2009-11-22",13.6674
"2009-11-23",0.2809
"2009-11-24",9.1607
"2009-11-25",19.1716
"2009-11-26",0
"2009-11-27",0
"2009-11-28",0
"2009-11-29",6.9039
"2009-11-30",17.1735
"2009-12-01",27.5511
"2009-12-02",18.3126
"2009-12-03",0.0602
"2009-12-04",3.2646
"2009-12-05",5.2398
"2009-12-06",9.5086
"2009-12-07",1.4888
"2009-12-08",2.8456
"2009-12-09",3.7002
"2009-12-10",0
"2009-12-11",0
"2009-12-12",11.5305
"2009-12-13",5.4546
"2009-12-14",11.6081
"2009-12-15",20.3955
