,"(mm) Precipitation (CHIRPS) at Kalutara, 2007-01-01 to 2025-12-31"
"2008-05-04",21.1182
"2008-05-05",13.5608
"2008-05-06",9.2822
"2008-05-07",14.1849
"2008-05-08",0.9971
"2008-05-09",15.7064
"2008-05-10",0
"2008-05-11",0
"2008-05-12",32.1105
"2008-05-13",2.1971
"2008-05-14",13.4202
"2008-05-15",0
"2008-05-16",0.3377
"2008-05-17",0
"2008-05-18",0
"2008-05-19",0
"2008-05-20",0
"2008-05-21",0
"2008-05-22",33.1213
"2008-05-23",8.0795
"2008-05-24",0
"2008-05-25",7.9096
"2008-05-26",8.5354
"2008-05-27",20.3461
"2008-05-28",27.5493
"2008-05-29",23.5289
"2008-05-30",14.6125
"2008-05-31",32.0938
"2008-06-01",73.7413
"2008-06-02",60.3
"2008-06-03",30.6191
"2008-06-04",0
"2008-06-05",0.0168
"2008-06-06",7.8343
"2008-06-07",43.2536
"2008-06-08",42.9622
"2008-06-09",17.7295
"2008-06-10",0
"2008-06-11",0
"2008-06-12",0.5738
"2008-06-13",0
"2008-06-14",12.6202
"2008-06-15",4.115
"2008-06-16",0
"2008-06-17",0.2183
"2008-06-18",0.4379
"2008-06-19",5.7487
"2008-06-20",0.0042
"2008-06-21",1.8862
"2008-06-22",55.983
"2008-06-23",8.6143
"2008-06-24",48.8529
"2008-06-25",8.3325
"2008-06-26",28.1884
"2008-06-27",0
"2008-06-28",0
"2008-06-29",7.2035
"2008-06-30",0
"2008-07-01",24.0655
"2008-07-02",0
"2008-07-03",0.0026
"2008-07-04",0
"2008-07-05",0.8912
"2008-07-06",9.6657
"2008-07-07",13.9451
"2008-07-08",8.8399
"2008-07-09",0
"2008-07-10",0
"2008-07-11",0
"2008-07-12",12.798
"2008-07-13",28.2795
"2008-07-14",2.981
"2008-07-15",12.4676
"2008-07-16",0.0833
"2008-07-17",0.9064
"2008-07-18",74.1925
"2008-07-19",0
"2008-07-20",0.006
"2008-07-21",20.7821
"2008-07-22",23.8952
"2008-07-23",31.1044
"2008-07-24",0
"2008-07-25",0
"2008-07-26",0.3219
"2008-07-27",4.1347
"2008-07-28",23.0235
"2008-07-29",6.8319
"2008-07-30",0.2289
"2008-07-31",0
"2008-08-01",1.3002
"2008-08-02",5.9654
"2008-08-03",0
"2008-08-04",0
"2008-08-05",0
"2008-08-06",0
"2008-08-07",0
"2008-08-08",1.8787
"2008-08-09",4.8074
"2008-08-10",0
"2008-08-11",0.1346
"2008-08-12",16.3894
"2008-08-13",4.597
"2008-08-14",6.3224
"2008-08-15",0
"2008-08-16",5.7373
"2008-08-17",1.5151
"2008-08-18",5.9983
"2008-08-19",0
"2008-08-20",0.0295
"2008-08-21",11.3708
"2008-08-22",0
"2008-08-23",0.362
"2008-08-24",8.2387
"2008-08-25",30.2398
"2008-08-26",21.4251
"2008-08-27",25.188
"2008-08-28",8.5695
"2008-08-29",28.9745
"2008-08-30",17.9011
"2008-08-31",4.357
